source_primary,source_secondary,target
CHEBI:6413,CHEBI:230905,MONDO:0000618
UNII:FZG87K1MQ6,CHEBI:46195,HP:0100607
CHEBI:3485,CHEBI:48947,UMLS:C0856695
CHEBI:29888,PUBCHEM.COMPOUND:24479,MONDO:0006716
CHEBI:36773,UNII:2R04ONI662,HP:0410339
CHEBI:5779,CHEBI:52010,MONDO:0005709
CHEBI:47381,CHEBI:8768,MONDO:0008383
UMLS:C0717758,CHEBI:44185,MONDO:0008383
UNII:JSV288Q5CV,UNII:JSV288Q5CV,MONDO:0100130
DRUGBANK:DB17091,DRUGBANK:DB15654,MONDO:0100130
CHEBI:28177,CHEBI:28939,MONDO:0002155
CHEBI:31498,UMLS:C0111046,CHEBI:25805
CHEBI:3510,CHEBI:48947,UMLS:C0041912
CHEBI:52010,CHEBI:81717,MONDO:0005709
CHEBI:52010,PUBCHEM.COMPOUND:4786,MONDO:0005709
CHEBI:4514,CHEBI:31498,MONDO:0005725
CHEBI:8346,CHEBI:18332,MONDO:0002108
CHEBI:31498,CHEBI:4514,MONDO:0005725
CHEBI:46195,CHEBI:51209,UMLS:C0264222
CHEBI:3183,CHEBI:22652,MONDO:0005271
UNII:2R04ONI662,CHEBI:36773,UMLS:C0281856
CHEBI:62984,CHEBI:8357,NCIT:C121616
CHEBI:83766,UMLS:C0796392,UMLS:C0863127
CHEBI:83766,UMLS:C0796392,UMLS:C0863127
CHEBI:251408,CHEBI:92712,HP:0002791
CHEBI:51380,CHEBI:27306,HP:0002018
CHEBI:2668,CHEBI:38545,UMLS:C0522060
CHEBI:85994,UNII:DPT0O3T46P,NCIT:C137827
MESH:C558471,UMLS:C1699394,HP:0005363
CHEBI:5778,CHEBI:9241,NCIT:C162704
CHEBI:76612,CHEBI:133021,UMLS:C5395609
CHEBI:8232,CHEBI:9421,UMLS:C0694549
CHEBI:41423,CHEBI:75722,UniProtKB:A0A8D0SEZ5
CHEBI:69478,CHEBI:66964,UMLS:C0278139
CHEBI:69478,CHEBI:66964,UMLS:C0278139
CHEBI:3485,CHEBI:48947,MONDO:0021201
CHEBI:3485,CHEBI:48947,MONDO:0021201
CHEBI:3614,CHEBI:5130,UMLS:C0852882
CHEBI:17650,CHEBI:15366,MONDO:0004795
CHEBI:95341,CHEBI:145994,UMLS:C0748061
UMLS:C5432263,UMLS:C5432264,UNII:JSV288Q5CV
UMLS:C5432264,UMLS:C5432263,MONDO:0005821
CHEBI:5779,CHEBI:52010,MONDO:0005709
